Lat,Lon,TripPurposes,ActivityDuration,ArrivalTime
37.488565,127.009128,Commute,746.0,9
37.557393,126.956113,ReturningHome,863.0,22
37.537117,127.086165,Commute,79.0,16
37.582024,127.001901,Work,51.0,18
37.5664,126.925793,ReturningHome,700.0,19
37.513423,126.938457,Commute,897.0,7
37.517968,126.894782,ReturningHome,864.0,22
37.563087,126.962218,OrganizedHobby,97.0,20
37.490533,126.855865,ReturningHome,867.0,22
37.556786,126.946393,Commute,286.0,9
37.493301,126.894954,ReturningHome,383.0,14
37.498153,127.028358,Entertainment,155.0,11
37.518198,126.884328,ReturningHome,425.0,15
37.568023,127.08556000000002,Commute,578.0,7
37.511098,127.021291,ReturningHome,587.0,17
37.526126,126.864603,Commute,628.0,8
37.572514,126.806794,ReturningHome,685.0,19
37.490963,126.903268,OrganizedHobby,509.0,13
37.457365,126.905303,ReturningHome,844.0,22
37.508844,127.062999,Commute,303.0,18
37.48245900000001,126.941693,ReturningHome,957.0,23
37.540192,126.83556000000002,OrganizedHobby,269.0,10
37.491548,126.831705,ReturningHome,436.0,15
37.610046,126.930275,Commute,161.0,8
37.619418,126.920904,Work,82.0,11
37.610046,126.930275,Work,378.0,13
37.561473,126.854408,ReturningHome,729.0,20
37.544477,126.949325,Entertainment,200.0,9
37.569922,126.913963,ReturningHome,308.0,13
37.517968,126.894782,Commute,639.0,9
37.48755900000001,126.913306,ReturningHome,746.0,20
37.552598,126.85012,Commute,489.0,13
37.558998,126.845678,ReturningHome,849.0,22
37.525588,126.867123,Commute,521.0,7
37.536242,126.829523,ReturningHome,512.0,16
37.49508,126.858788,Entertainment,62.0,21
37.50396,126.856412,ReturningHome,893.0,22
37.499883,126.874702,OrganizedHobby,198.0,13
37.571952,126.929488,ReturningHome,616.0,18
37.570164,126.983102,Commute,408.0,10
37.556837,126.92375,ReturningHome,585.0,17
37.501772,127.059145,Commute,667.0,8
37.47025,126.891707,ReturningHome,770.0,20
37.561174,126.812409,Entertainment,66.0,10
37.541629,126.840422,Entertainment,43.0,12
37.532211,126.846421,ReturningHome,295.0,12
37.492672,126.925893,Entertainment,108.0,13
37.509107,126.928845,ReturningHome,437.0,15
37.480376,126.882676,Commute,623.0,8
37.504844,126.939009,ReturningHome,685.0,19
37.528137,126.917819,Commute,934.0,7
37.561473,126.854408,ReturningHome,923.0,23
37.497222,126.855147,OrganizedHobby,544.0,7
37.498605,126.829242,ReturningHome,511.0,16
37.535127,127.094714,Commute,740.0,7
37.566915,126.910428,ReturningHome,777.0,20
37.490008,126.927485,Commute,604.0,8
37.511098,127.021291,ReturningHome,684.0,19
37.512955,127.052905,Commute,713.0,8
37.546957,126.874868,ReturningHome,764.0,20
37.524489,126.875301,Entertainment,144.0,14
37.498153,127.028358,ReturningHome,586.0,17
37.517968,126.894782,Commute,604.0,8
37.547471,126.931927,ReturningHome,637.0,18
37.517542,126.90622,Entertainment,70.0,17
37.55028,126.873338,ReturningHome,656.0,18
37.558537,126.978467,OrganizedHobby,288.0,9
37.55907,127.005308,ReturningHome,133.0,14
37.549167,126.87764,OrganizedHobby,610.0,8
37.51821,126.866177,ReturningHome,650.0,18
37.500588,126.909173,OrganizedHobby,203.0,12
37.50563,126.906922,ReturningHome,470.0,15
37.504872,127.004956,OrganizedHobby,239.0,12
37.521672,126.924144,ReturningHome,551.0,17
37.586288,127.02921299999998,Commute,543.0,7
37.50844,126.891508,ReturningHome,576.0,17
37.554383,126.971133,Commute,906.0,8
37.529032,126.905958,ReturningHome,938.0,23
37.554383,126.971133,Commute,781.0,8
37.492421,126.824023,ReturningHome,876.0,22
37.485199,127.01616,Work,76.0,14
37.58192,127.038385,ReturningHome,520.0,16
37.547995,127.062185,Commute,314.0,9
37.52007800000001,126.88847,ReturningHome,478.0,15
37.582024,127.001901,Commute,172.0,11
37.513987,127.020065,OrganizedHobby,54.0,15
37.477492,127.006377,ReturningHome,522.0,16
37.480792,126.907893,Commute,688.0,7
37.474995,126.942135,ReturningHome,705.0,19
37.543486,126.951911,Commute,503.0,8
37.556837,126.92375,ReturningHome,60.0,17
37.516433,127.020307,OrganizedHobby,203.0,19
37.556837,126.92375,ReturningHome,908.0,23
37.529235,126.967947,Commute,586.0,8
37.48245900000001,126.941693,ReturningHome,669.0,19
37.49586,127.124389,Commute,607.0,9
37.500106,126.909743,ReturningHome,731.0,20
37.508844,127.062999,Commute,593.0,8
37.516433,127.020307,OrganizedHobby,195.0,19
37.471937,126.966867,ReturningHome,904.0,23
37.56599600000001,126.982161,Commute,599.0,8
37.56348,126.903394,ReturningHome,658.0,18
37.496283,126.953645,OrganizedHobby,190.0,13
37.493301,126.894954,ReturningHome,522.0,16
37.494386,126.844746,Commute,738.0,5
37.484247,126.929731,ReturningHome,655.0,18
37.449983,126.913243,Commute,586.0,8
37.50844,126.891508,ReturningHome,664.0,19
37.536032,126.974163,OrganizedHobby,284.0,9
37.67275,127.044333,ReturningHome,442.0,15
37.513495,126.941878,OrganizedHobby,516.0,13
37.500082,126.932298,ReturningHome,882.0,22
37.475715,126.987113,Commute,230.0,9
37.4801,127.005695,OrganizedHobby,273.0,13
37.48125,126.952685,OrganizedHobby,212.0,18
37.52982100000001,126.96454,Commute,631.0,8
37.513349,126.926529,ReturningHome,675.0,19
37.544685,126.963815,Commute,638.0,12
37.526126,126.864603,ReturningHome,926.0,23
37.566277,126.990967,OrganizedHobby,231.0,8
37.55976500000001,126.964451,Entertainment,64.0,12
37.565963,126.985343,OrganizedHobby,244.0,14
37.563765,126.97542,ReturningHome,613.0,18
37.483383,127.03555,Work,195.0,12
37.459027,127.01788,ReturningHome,451.0,15
37.514485,126.901147,Entertainment,76.0,14
37.496482,126.844572,ReturningHome,502.0,16
37.558898,126.845882,Commute,661.0,8
37.557673,126.8532,OrganizedHobby,270.0,19
37.559935,126.847805,OrganizedHobby,947.0,23
37.535537,127.005727,Commute,613.0,8
