P_Arr_LU1,P_Arr_LU2,P_Arr_LU3,Lon,Lat,P_Arrival_code
0.426701393,0.573298607,0,127.020759,37.56838242,1114067000
0.637372492,0.331065637,0.031561872,126.9932686,37.53370232,1117065000
0.411854832,0.136694683,0.451450485,126.847463,37.51516182,1147064000
0.894028919,0.105971081,0,127.0236884,37.60002526,1129058000
0.491652169,0.078025191,0.43032264,127.0583948,37.6603837,1135072000
0.678535658,0.180306527,0.141157815,127.0740094,37.62368177,1135059500
0.629468912,0.174143383,0.196387705,127.0309232,37.6479829,1132068000
0.356961557,0.089535904,0.553502538,126.9441344,37.46429453,1162073500
0.698940405,0.301059595,0,126.9276328,37.50551708,1159066000
0.645888427,0.351322739,0.002788834,127.0192835,37.58269254,1129061000
0.62294312,0.286831142,0.090225738,127.1266421,37.54400108,1174061000
0.752811296,0.179282686,0.067906018,127.0110352,37.55167304,1114063500
0.480213433,0.144940048,0.37484652,127.0354327,37.6073181,1129071500
0.583235809,0.079964709,0.336799482,127.0832087,37.64659364,1135061900
0.590950873,0.409049127,0,127.0642212,37.50195786,1168061000
0.675927601,0.111346052,0.212726346,127.040568,37.64818161,1132051100
0.826970553,0.155947312,0.017082136,127.1345066,37.50402443,1171057000
0.675927601,0.111346052,0.212726346,127.0426139,37.6555749,1132051500
0.378843916,0.621156084,0,127.0716491,37.5438699,1121571000
0.655206782,0.22590496,0.118888258,126.8277363,37.55142598,1150061100
0.346766818,0.653233182,0,127.0168656,37.57702178,1111070000
0.231925692,0.008976249,0.759098059,126.991452,37.52268008,1117069000
0.767722629,0.221663694,0.010613677,127.0606473,37.59769545,1123074000
0.764622293,0.235377707,0,127.0605411,37.58057569,1123057000
0.226817274,0.332552519,0.440630207,127.0891889,37.60070714,1126058000
0.496673449,0.382880459,0.120446091,127.0468382,37.54095338,1120065000
0.329871776,0.661308592,0.008819633,127.004465,37.53525907,1117068500
0.993001801,0.006998199,0,127.0325977,37.55143803,1120058000
0.218901061,0.503861995,0.277236944,127.0192544,37.48836731,1165051000
0.850302714,0.149697286,0,127.0283307,37.56173433,1120052000
0.81881173,0.18118827,0,126.9590077,37.53785558,1117059000
0.297064134,0.702935866,0,126.8876309,37.52455398,1156061000
0.62516711,0.15163859,0.2231943,126.9791784,37.49217321,1159063000
0.436984051,0.330366317,0.232649632,126.8460244,37.56108502,1150053500
0.274292359,0.725707641,0,127.0487844,37.51206461,1168059000
0.304942449,0.604417339,0.090640212,127.0484676,37.4873207,1168065600
0.422014963,0.242074738,0.335910299,127.0896834,37.58829547,1126056500
0.648917358,0.333912524,0.017170118,126.9052813,37.50073316,1156067000
0.411854832,0.136694683,0.451450485,126.8574173,37.52526466,1147065000
0.752811296,0.179282686,0.067906018,127.0182348,37.56152867,1114066500
0.442577249,0.077182358,0.480240394,127.0418182,37.68045872,1132052100
0.315676672,0.581642362,0.102680966,126.9042918,37.56796739,1144073000
